form,root,to_derive,to_translate,word,context,lgg,trs_direct,trs_context,trs_dbl_trans,to_check,word_type,end_class
a,acquire,yes,yes,acquirable,domain is acquirable,am,acquirable,ጎራ acquirable ነው,acquirable,,attr,sale
v,acquire,yes,yes,acquire,aquire a website,am,ለማዳበር,አንድ ድር ጣቢያ aquire,to develop,XXX,attr,sale
v,acquire,yes,yes,acquired,website is acquired,am,አግኝተዋል,ድር አግኝተዋል ነው,discovered,,attr,sale
n,acquire,yes,yes,acquirer,the acquirer of this website is happy,am,acquirer,የዚህ ድረ-ገጽ acquirer ደስተኛ ነው,acquirer,,attr,sale
v,acquire,yes,yes,acquires,it acquires your domain,am,ይገበያል,የእርስዎ ጎራ ባለውና,acquires,XXX,attr,sale
v,acquire,yes,yes,acquiring,acquiring a website,am,በማግኘት ላይ,አንድ ድር ጣቢያ በማግኘት ላይ,finding,,attr,sale
n,acquire,yes,yes,acquisition,acquisition of website is free,am,አዲስ ንብረት,ድር ማግኛ ነጻ ነው,acquisition,XXX,attr,sale
n,acquire,yes,yes,acquisitions,website acquisitions for free,am,ግዢዎች,በነፃ ድረ ግዢዎች,purchases,,attr,sale
a,authorized,yes,yes,authorized,website is not authorized,am,ስልጣን,ድር ጣቢያ ፍቃድ ያለው አይደለም,authority,XXX,attr,other
a,available,yes,yes,available,website is available,am,ይገኛል,ድር ጣቢያ ይገኛል,available,,attr,other
n,available,yes,yes,availableness,availableness is not guaranteed,am,availableness,availableness ዋስትና አይደለም,availableness,,attr,other
v,block,yes,yes,block,block your website,am,የማገጃ,የእርስዎን ድር ጣቢያ አግድ,block,XXX,attr,blocked
v,block,yes,yes,blocked,website is blocked,am,ታግዷል,ድር ታግዷል,blocked,,attr,blocked
v,block,yes,yes,blocking,blocking your website,am,እገዳን,የእርስዎ ድር ጣቢያ ማገድ,blocking,XXX,attr,blocked
v,buy,yes,yes,bought,domain is bought,am,ገዙ,ጎራ ገዛሁ ነው,bought,XXX,attr,sale
v,buy,yes,yes,buy,buy this domain,am,ግዛ,ይህን ጎራ ለመግዛት,buy now,,attr,sale
n,buy,yes,yes,buy,a buy of domain is good,am,ግዛ,ጎራ ይግዙ መልካም ነው,buy now,XXX,attr,sale
n,buy,yes,yes,buyer,the website buyer is happy,am,ግዢ,ድር ገዢ ደስተኛ ነው,Shopping,XXX,attr,sale
n,buy,yes,yes,buyers,the website buyers are happy,am,ገዢዎች,ድር ገዢዎች ደስተኞች ናቸው,buyers,,attr,sale
v,buy,yes,yes,buying,you are buying this website,am,የመግዣ,ይህን ድር ጣቢያ መግዛት ነው,NOTES,XXX,attr,sale
v,buy,yes,yes,buys,owner buys websites,am,ግዢዎቻቸው,ባለቤት ግዢዎቻቸው ድር ጣቢያዎች,buys,,attr,sale
v,censor,yes,yes,censor,how to censor a website,am,ሰንሱር,እንዴት አንድ ድር ጣቢያ ሳንሱር ለማድረግ,censor,XXX,attr,blocked
v,censor,yes,yes,censored,website is censored,am,ሳንሱር,ድር ሳንሱር ነው,censor,,attr,blocked
v,censor,yes,yes,censoring,court is censoring this website,am,ሳንሱር,ፍርድ ቤቱ ይህን ድር ሳንሱር ነው,censor,,attr,blocked
v,come,yes,yes,coming,website is coming soon,am,መምጣት,ድር ጣቢያ በቅርቡ ይመጣል,to come,XXX,other,other
v,construct,yes,yes,construct,how to construct a website,am,CONSTRUCT,እንዴት አንድ ድር ጣቢያ ለመገንባት,CONSTRUCT,XXX,attr,construction
n,construct,yes,yes,construct,a construct of website is great,am,CONSTRUCT,የድር ጣቢያ አንድ CONSTRUCT ታላቅ ነው;,CONSTRUCT,,attr,construction
v,construct,yes,yes,constructed,website is constructed,am,ግንባታ,ድር ጣቢያ የተገነባው ነው,construction,XXX,attr,construction
v,construct,yes,yes,constructing,constructing a website,am,ግንባታ,አንድ ድር ጣቢያ ግንባታ,construction,,attr,construction
n,construct,yes,yes,construction,website is under construction,am,ግንባታ,ድር ጣቢያ ግንባታ ስር ነው,construction,,attr,construction
n,construct,yes,yes,constructions,constructions of a website,am,ግንባታዎች,አንድ ድር ጣቢያ ግንባታዎች,Builds,,attr,construction
n,construct,yes,yes,constructor,the website constructor is busy,am,ግንበኛ,ድር ግንበኛ ስራ ላይ ነው,constructor,,attr,construction
n,construct,yes,yes,constructors,website constructors are busy,am,constructors,የድር ጣቢያ constructors ስራ ላይ ናቸው,constructors,,attr,construction
v,construct,yes,yes,constructs,it constructs a website,am,constructs,አንድ ድር ጣቢያ constructs,constructs,,attr,construction
v,create,yes,yes,create,create your website,am,ፈጠረ,የእርስዎን ድር ጣቢያ መፍጠር,create,XXX,attr,starter
v,create,yes,yes,created,website is created with you,am,ተፈጥሯል,ድረ ከእናንተ ጋር የተፈጠረ ነው,created,XXX,attr,starter
v,create,yes,yes,creates,he creates his website,am,ይፈጥራል,እርሱ ድር ይፈጥራል,creates,,attr,starter
v,create,yes,yes,creating,creating your website is good,am,መፍጠር,የእርስዎ ድር ጣቢያ መፍጠር ጥሩ ነው,creating,,attr,starter
n,create,yes,yes,creation,creation of a website is free,am,ፍጥረት,አንድ ድር ጣቢያ መፍጠር ነጻ ነው,creation,XXX,attr,starter
n,create,yes,yes,creator,creator of the website has not finished yet,am,ፈጣሪ,የድር ጣቢያው ፈጣሪ ገና አልጨረሰም,Creator,,attr,starter
n,create,yes,yes,creators,creator of the website have not finished yet,am,ፈጣሪዎች,የድር ጣቢያው ፈጣሪ ገና አላበቁም,Creators,XXX,attr,starter
v,default,yes,yes,default,how to default a website,am,ነባሪ,እንዴት አንድ ድር ጣቢያ ወደ ነባሪ,It was,,attr,other
